id_student,code_module,code_presentation,precision,recall
40857,FFF,2014J,0.05,1.0
40878,FFF,2014J,0.25,0.09433962264150944
41060,DDD,2013B,0.1,0.09523809523809523
41414,GGG,2014B,0.3,0.2857142857142857
41547,BBB,2014J,0.1,0.06451612903225806
42552,FFF,2014J,0.4,0.10526315789473684
42616,FFF,2013J,0.65,0.16666666666666666
42638,CCC,2014B,0.55,0.14864864864864866
42638,EEE,2013J,0.15,0.08571428571428572
42668,FFF,2013B,0.6,0.16666666666666666
42746,CCC,2014J,0.45,0.17647058823529413
42746,FFF,2014B,0.1,0.014705882352941176
43273,FFF,2013B,0.7,0.2
43284,DDD,2013B,0.15,0.08823529411764706
43430,FFF,2013B,0.45,0.0967741935483871
43564,EEE,2013J,0.35,0.22580645161290322
43958,FFF,2013J,0.0,0.0
43958,FFF,2014J,0.0,0.0
45423,FFF,2014J,0.6,0.16
45462,AAA,2013J,0.4,0.2962962962962963
45642,AAA,2013J,0.2,0.12121212121212122
45664,CCC,2014B,0.0,0.0
45664,DDD,2013B,0.1,0.06666666666666667
46016,DDD,2014J,0.05,1.0
46148,FFF,2014B,0.4,0.12903225806451613
46605,CCC,2014B,0.2,0.1111111111111111
46705,CCC,2014J,0.1,0.5
46753,DDD,2014B,0.3,0.17647058823529413
46844,AAA,2014J,0.05,0.1
47061,EEE,2014J,0.3,0.3333333333333333
47063,DDD,2013J,0.0,0.0
47861,FFF,2014J,0.55,0.16666666666666666
47891,BBB,2014J,0.05,0.25
48040,BBB,2013J,0.4,0.1038961038961039
48152,DDD,2013J,0.2,0.10526315789473684
48503,BBB,2013J,0.1,0.13333333333333333
48635,FFF,2014B,0.05,0.013157894736842105
49119,CCC,2014B,0.2,0.07692307692307693
49123,GGG,2014B,0.2,0.16
50069,BBB,2014B,0.25,0.20833333333333334
50263,FFF,2013B,0.15,0.0625
50476,DDD,2014B,0.0,0.0
50487,FFF,2013J,0.2,0.06779661016949153
50993,BBB,2013B,0.0,0.0
51030,DDD,2014B,0.25,0.08928571428571429
51033,DDD,2014J,0.0,0.0
51153,DDD,2014J,0.05,0.034482758620689655
51163,DDD,2013J,0.2,0.034482758620689655
51485,FFF,2013J,0.6,0.1
51576,FFF,2013J,0.5,0.08196721311475409
51955,DDD,2014J,0.15,0.23076923076923078
52014,DDD,2013B,0.15,0.14285714285714285
52130,AAA,2013J,0.45,0.23076923076923078
52702,GGG,2014J,0.05,0.08333333333333333
52765,AAA,2014J,0.3,0.18181818181818182
52797,BBB,2013J,0.15,0.15
52899,BBB,2013B,0.05,0.5
52899,BBB,2013J,0.0,0.0
53025,AAA,2013J,0.05,0.03333333333333333
53136,FFF,2014B,0.2,0.08695652173913043
53166,FFF,2013J,0.45,0.18
53197,FFF,2013B,0.0,0.0
53300,CCC,2014J,0.35,0.30434782608695654
53488,DDD,2013B,0.15,0.057692307692307696
53632,DDD,2014B,0.1,0.10526315789473684
53632,DDD,2014J,0.05,0.08333333333333333
53709,FFF,2013B,0.25,0.22727272727272727
53709,FFF,2014B,0.0,0.0
54062,EEE,2013J,0.25,0.15151515151515152
54391,CCC,2014B,0.1,0.4
54810,DDD,2014J,0.25,0.06666666666666667
54882,FFF,2013J,0.15,0.17647058823529413
55013,FFF,2013J,0.2,0.23529411764705882
55026,BBB,2013J,0.2,0.19047619047619047
55104,AAA,2014J,0.45,0.391304347826087
55450,FFF,2013B,0.2,0.2857142857142857
55968,BBB,2014B,0.0,0.0
56637,FFF,2014J,0.35,0.09333333333333334
56667,FFF,2014J,0.35,0.23333333333333334
56789,BBB,2013J,0.15,0.17647058823529413
57079,BBB,2013J,0.25,0.1282051282051282
57227,DDD,2013J,0.35,0.1891891891891892
57285,BBB,2014J,0.1,0.06896551724137931
57340,CCC,2014B,0.15,0.09375
57506,AAA,2013J,0.5,0.2564102564102564
57818,DDD,2013J,0.2,0.0425531914893617
57844,FFF,2013J,0.7,0.1891891891891892
58071,AAA,2014J,0.75,0.375
58316,AAA,2014J,0.25,0.2631578947368421
58549,FFF,2013B,0.3,0.10526315789473684
58617,DDD,2014B,0.0,0.0
58640,FFF,2013J,0.15,0.05357142857142857
58653,BBB,2014J,0.25,0.20833333333333334
